year,cbec_retail_cny_trillion,cbec_retail_usd_billion,yoy_growth_pct,share_of_total_trade_pct,notes,source
2015,0.54,85,28.6,1.0,First CBEC pilot zone opened in Hangzhou,"GACC; China E-commerce Research Center; MDPI (doi:10.3390/math14040599)"
2016,0.65,97,20.4,1.4,13 pilot zones established,"GACC; 100ec.cn via Statista"
2017,0.90,131,38.5,2.0,B2B customs code 9710/9810 introduced,"GACC; 100ec.cn via Statista"
2018,1.35,196,50.0,2.9,35 pilot zones; trade war begins,"GACC; 100ec.cn via Statista"
2019,1.63,230,20.7,3.5,Duty-free threshold raised to CNY 5000/order; 59 pilot zones,"GACC; 100ec.cn via Statista; China Briefing"
2020,1.69,245,3.7,3.8,COVID accelerates adoption; 105 pilot zones,"GACC; China Briefing; US Trade.gov"
2021,1.98,306,17.2,4.2,CBEC exports +15% YoY to USD 273B,"GACC; Expert Market Research; China Briefing"
2022,2.11,299,6.6,4.6,First time exceeding CNY 2T; 132 pilot zones; exports +8.4% imports +3.8%,"GACC; China Executive Briefing (Asia Society); China Briefing"
2023,2.38,331,12.8,5.3,Exports +19.6% (CNY 1.83T); imports +3.9% (CNY 0.55T); 165 pilot zones,"GACC; US Trade.gov; China Briefing"
2024,2.63,370,10.5,6.0,Record high; H1 2024 alone CNY 1.22T (+10.5% YoY),"GACC press conference Jan 2025; MDPI (doi:10.3390/math14040599); Chinese State Council"
